Section,Section Description,hts_number,Parsed Description
1,Live Animals; Animal Products,01,Live animals
1,Live Animals; Animal Products,02,Meat and edible meat offal
1,Live Animals; Animal Products,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1,Live Animals; Animal Products,04,"Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
1,Live Animals; Animal Products,05,"Products of animal origin, not elsewhere specified or included�"
2,Vegetable Products,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
2,Vegetable Products,07,Edible vegetables and certain roots and tubers
2,Vegetable Products,08,Edible fruit and nuts; peel of citrus fruit or melons
2,Vegetable Products,09,"Coffee, tea, mat� and spices"
2,Vegetable Products,10,Cereals
2,Vegetable Products,11,Products of the milling industry; malt; starches; inulin; wheat gluten
2,Vegetable Products,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruits; industrial or medicinal plants; straw and fodder"
2,Vegetable Products,13,"Lac; gums, resins and other vegetable saps and extracts"
2,Vegetable Products,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included�
3,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,15,Animal or vegetable fats and oils and their cleavage products prepared edible fats; animal or vegetable waxes
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",17,Sugars and sugar confectionery
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",18,Cocoa and cocoa preparations
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",19,"Preparations of cereals, flour, starch or milk; bakers' wares"
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",20,"Preparations of vegetables, fruit, nuts or other parts of plants"
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",21,Miscellaneous edible preparations
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",22,"Beverages, spirits and vinegar"
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",23,Residues and waste from the food industries; prepared animal feed
4,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes",24,Tobacco and manufactured tobacco substitutes
5,Mineral Products,25,"Salt; sulfur; earths and stone; plastering materials, lime and cement"
5,Mineral Products,26,"Ores, slag and ash"
5,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
6,Products of the Chemical or Allied Industries,28,"Inorganic chemicals; organic or inorgani c compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes"
6,Products of the Chemical or Allied Industries,29,Organic chemicals
6,Products of the Chemical or Allied Industries,30,Pharmaceutical products
6,Products of the Chemical or Allied Industries,31,Fertilizers
6,Products of the Chemical or Allied Industries,32,"Tanning or dyeing extracts; dyes, pigments, paints, varnishes, putty and mastics�"
6,Products of the Chemical or Allied Industries,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
6,Products of the Chemical or Allied Industries,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modeling pastes, ""dental waxes"" and dental preparations with a basis of plaster"
6,Products of the Chemical or Allied Industries,35,Albuminoidal substances; modified starches; glues; enzymes
6,Products of the Chemical or Allied Industries,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations
6,Products of the Chemical or Allied Industries,37,Photographic or cinematographic goods
6,Products of the Chemical or Allied Industries,38,Miscellaneous chemical products
7,Plastics and Articles Thereof Rubber and Articles Thereof,39,Plastics and articles thereof
7,Plastics and Articles Thereof Rubber and Articles Thereof,40,Rubber and articles thereof
8,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)",41,Raw hides and skins (other than furskins) and leather
8,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)",42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)"
8,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)",43,Furskins and artificial fur; manufactures thereof
9,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufacturers of Straw,of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",44,Wood and articles of wood; wood charcoal
9,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufacturers of Straw,of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",45,Cork and articles of cork
9,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufacturers of Straw,of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
10,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard; Paper and Paperboard and Articles Thereof,47,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard
10,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard; Paper and Paperboard and Articles Thereof,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard"
10,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard; Paper and Paperboard and Articles Thereof,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
11,Textile and Textile Articles,50,Silk
11,Textile and Textile Articles,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
11,Textile and Textile Articles,52,Cotton
11,Textile and Textile Articles,53,Other vegetable textile fibers; paper yarn and woven fabric of paper yarn
11,Textile and Textile Articles,54,Man-made filaments
11,Textile and Textile Articles,55,Man-made staple fibers
11,Textile and Textile Articles,56,"Wadding, felt and nonwovens; special yarns, twine, cordage, ropes and cables and articles thereof"
11,Textile and Textile Articles,57,Carpets and other textile floor coverings
11,Textile and Textile Articles,58,"Special woven fabrics; tufted textile fabrics; lace, tapestries; trimmings; embroidery"
11,Textile and Textile Articles,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"
11,Textile and Textile Articles,60,Knitted or crocheted fabrics
11,Textile and Textile Articles,61,"Articles of apparel and clothing accessories, knitted or crocheted"
11,Textile and Textile Articles,62,"Articles of apparel and clothing accessories, not knitted or crocheted"
11,Textile and Textile Articles,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags
12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",64,"Footwear, gaiters and the like; parts of such articles"
12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",65,Headgear and parts thereof
12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",66,"Umbrellas, sun umbrellas, walking sticks, seatsticks, whips, riding-crops and parts thereof"
12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair
13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware",68,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware",69,Ceramic products
